"","Finished","Progress","Consent_statement","Work_from_home_Freq_19","Work_from_home_Freq_20","Weekly_Working_hrs_19","Weekly_Working_hrs_20","Traditional work hours_19  (9-5, Mon - Fri)","Early mornings_19  (5am - 9am)","Early evenings_19  (5pm - 9pm)","Late evenings_19  (5pm - midnight)","Overnight_19 (midnight - 5am)","Traditional work hours_20  (9-5, Mon - Fri)","Early mornings_20  (5am - 9am)","Early evenings_20  (5pm - 9pm)","Late evenings_20 (5pm - midnight)","Overnight_20 (midnight - 5am)","Work_schedule_stability_19","Work_schedule_stability_20","Comfortable_lifestyle_19","Lonely_lifestyle_19","Active_lifestyle_19","Connected_lifestyle_19","Peaceful_lifestyle_19","Chaotic_lifestyle_19","Comfortable_lifestyle_20","Lonely_lifestyle_20","Active_lifestyle_20","Connected_lifestyle_20","Peaceful_lifestyle_20","Chaotic_lifestyle_20","Mental_health_19","Mental_health_20","Expected_Income_2021","Income_2020","Income_2019","Age_Group","Adult_count","Children_count","Postcode_range","Year_of_record","Month_of_record"
"1","Yes",100,"Agreed","Never","Never","40+ hours ","30-40 hours",1,0,1,0,1,1,0,0,1,0,"No changes","Unpredictable",0,0,1,1,0,0,0,0,0,1,0,1,"Significant challenges","Good",113533.215274582,125014.229189299,107491.606611343,"(24,45]","3","1","(3150,3250]",2021,"January"
"2","Yes",100,"Agreed","Always","Didn't work","40+ hours ","Didn't work",0,1,1,0,0,NA,NA,NA,NA,NA,"Unpredictable",NA,0,0,1,0,0,0,1,0,0,0,0,1,"Significant challenges","Some challenges",101183.816543833,-1845.17173550329,73627.9542477722,"(55,80]","2","More than 2","(3000,3050]",2021,"January"
"3","Yes",100,"Agreed","Sometimes","Always","20-30 hours  ","20-30 hours",1,0,0,0,0,0,0,0,1,0,"Unpredictable","No changes",1,1,1,1,0,0,1,0,0,0,1,0,"Some challenges","Significant challenges",93666.1142368412,103154.775503661,91142.5996649553,"(45,55]","1","0","(3150,3250]",2021,"January"
"4","Yes",100,"Agreed","Never","Never","40+ hours ","20-30 hours",0,0,0,1,0,0,0,0,1,0,"No changes","Some small changes",1,0,1,0,0,1,1,0,1,1,0,0,"Good","Good",290451.282821724,295097.559729775,271279.854887446,"(45,55]","3","2","(3050,3150]",2021,"January"
"5","Yes",100,"Agreed","About half the time","Never","10-20 hours  ","40+ hours",0,0,1,0,0,0,0,0,1,0,"No changes","Unpredictable",0,0,1,0,1,1,1,0,0,0,0,0,"Some challenges","Significant challenges",194462.897966755,190339.171558798,170573.689764668,"(24,45]","3","0","(3050,3150]",2021,"January"
"6","Yes",100,"Agreed","Never","Didn't work","40+ hours ","Didn't work",1,1,0,0,0,NA,NA,NA,NA,NA,"No changes",NA,0,0,0,0,1,0,1,1,0,0,1,0,"Some challenges","Good",131782.420845599,-271.189983473998,118281.206560255,"(55,80]","1","2","(3050,3150]",2021,"January"
"7","Yes",100,"Agreed","Never","Always","Didn't work","40+ hours",1,0,0,0,0,0,0,1,1,0,"No changes","Unpredictable",1,0,0,1,0,0,0,0,0,1,0,0,"Significant challenges","Significant challenges",88026.0466388066,82390.0745365163,73479.7044022783,"(45,55]","More than 3","0","(3150,3250]",2021,"January"
"8","Yes",100,"Agreed","Never","Always","40+ hours ","40+ hours",0,0,0,0,0,1,0,0,0,0,"Varying","Unpredictable",0,1,1,0,0,0,1,0,0,0,0,0,"Some challenges","Good",113394.586067153,124258.131090897,104414.885488819,"(24,45]","3","1","(3050,3150]",2021,"January"
"9","Yes",100,"Agreed","Always","Most of the time","40+ hours ","30-40 hours",1,0,1,0,0,1,0,0,1,0,"Unpredictable","Some small changes",0,0,1,0,1,0,0,0,1,1,1,1,"Some challenges","Significant challenges",89411.6587478013,100444.981277496,83852.754101612,"(45,55]","3","2","(3050,3150]",2021,"January"
"10","Yes",100,"Agreed","Never","Sometimes","40+ hours ","30-40 hours",1,0,1,0,0,0,0,0,1,1,"No changes","No changes",0,0,0,1,1,0,1,0,0,0,0,1,"Some challenges","Some challenges",178878.480391584,181586.177492323,157486.540320032,"(55,80]","3","2","(3050,3150]",2021,"January"
